0,1,2,3,4,5,6,7,8,9,10
rule,electricity market,web service,complexity,cognitive radio,quality service,backpropagation,affective computing,multimedia,emotion recognition,
support vector regression,pid controller,electronic health record,evaluation,natural language,coordination,linear programming,cognitive architecture,intelligent robot,recognition,
extreme learning machine,job shop scheduling,humanoid robot,fault detection,interaction,distributed system,k nearest neighbor,methodology,trust,semantic similarity,
neuro fuzzy,wind power,medicine,heuristic search,epistemology,autonomous system,firefly algorithm,learning system,emergence,cognitive model,
pattern classification,electric vehicle,social medium,network,human factor,risk,search algorithm,artificial immune,recommender system,computer graphic,
unsupervised learning,ds,future,evolution,neuroscience,supply chain management,adaptive,computer simulation,collaboration,concept,
representation,optimal power flow,mobile agent,computational complexity,cognitive informatics,project management,parameter estimation,object oriented programming,behavior,artificial intelligence medicine,
hidden markov model,policy,mechatronics,induction motor,cognitive system,control system,global optimization,visualization,ubiquitous computing,drug discovery,
gene expression programming,pi controller,health care,fuzzy neural network,philosophy,cooperation,ensemble,object detection,cyber physical system,knowledge extraction,
supervised learning,energy saving,world wide web,dynamic programming,brain,operation,estimation,object oriented,android,biometrics,
data analysis,cnc,marketing,power transformer,data science,complex system,kalman filter,diagnostics,application expert system,mathematics,
graph theory,space,economics,power quality,context awareness,automated planning,optimization method,artificial intelligence application expert system,ambient assisted living,relational database,
image analysis,wastewater,autonomous robot,hybrid system,teaching,distributed control,fuzzy clustering,collective intelligence,interoperability,conceptual,
temporal reasoning,iso,java,programming,cognitive robotics,intelligent transportation system,test,information theory,information security,modal logic,
statistic,load balancing,agent technology,metaheuristics,vision,sustainability,meta heuristic,semantic network,finance,image,
training,power control,surveillance,combinatorial optimization,medical imaging,maintenance,robustness,cellular automaton,rehabilitation,denotational mathematics,
statistical analysis,flood,social robot,reliability,question answering,memory,lstm,artificial intelligence method,organization,image understanding,
information extraction,wind speed,science,differential evolution,disease,software agent,discrete wavelet transform,machine intelligence,behaviour,facial expression recognition,
regression analysis,pid control,e commerce,adaptation,alzheimer disease,energy management,heuristic algorithm,prognosis,action,literature review,
classifier,planning scheduling,cyber security,radial basis function,diabetes,production,optimization technique,automated reasoning,man machine interface,cognitive,
q learning,atm,cybersecurity,rough set theory,dialogue,power engineering computing,convergence,answer set programming,software tool,embodied cognition,
electroencephalogram,dc dc converter,bot,short term load forecasting,phenomenology,embedded system,fuzzy c mean,collaborative,agent architecture,learning style,
data fusion,protocol,law,parallel processing,music,risk management,multiobjective optimization,precision medicine,real time computer system,natural intelligence,
qualitative reasoning,traveling salesman,agriculture,dynamic,history,real time system,particle swarm optimization algorithm,framework,conversational agent,cognitive modeling,
machine learning algorithm,grid,virtual environment,least square support vector machine,knowledge sharing,process planning,wavelet transforms,artificial intelligence application,transhumanism,taxonomy,
analysis,ship,e health,constraint programming,aiml,risk assessment,accuracy,computer assisted diagnosis,electronic nose,mammography,
graph,robust control,interface,markov decision process,personalized medicine,rule system,calibration,collaborative learning,computer aided engineering,lung cancer,
segmentation,steel,robocup,local search,parkinson disease,network security,decomposition,electrocardiogram,higher education,analogy,
qsar,dynamic scheduling,culture,petri net,science fiction,navigation,back propagation algorithm,computer application,intelligent environment,activity recognition,
anomaly detection,power planning,environment,fuzzy set theory,informatics,distributed computing,multiple linear regression,artificial bee colony,kinect,non player character,
sensitivity analysis,controller,tourism,maximum power point tracking,natural language understanding,manufacturing system,multivariate adaptive regression spline,data,reverse engineering,formal concept analysis,
mathematical model,shortest path,virtual world,bp neural network,metadata,distributed generation,filtering,explanation,software development,text analysis,
fuzzy reasoning,,china,matlab,personality,water quality,optimization algorithm,clinical decision support,geographic information system,facial expression,
cbr,,electronic commerce,finite element,narrative,search engine,parallel algorithm,prolog,workflow,pattern,
fuzzy cognitive map,,trend,adaptive system,brain computer interface,process,metaheuristic,credit scoring,electronic skin,synthetic biology,
inference,,drone,object tracking,cognitive psychology,flexible manufacturing system,ant colony algorithm,frame,mobile application,meaning,
cluster analysis,,chatbots,satisfiability,formal language,distributed,linear regression,computational linguistics,governance,intentionality,
ensemble learning,,capp,probabilistic neural network,human machine interaction,obstacle avoidance,svr,computational artificial intelligence,digital library,description logic,
association rule,,tool,quality control,philosophy mind,blockchain,mutation,model diagnosis,product development,opinion mining,
rule reasoning,,autonomous,radial basis function neural network,captcha,concurrent engineering,gmdh,artificial general intelligence,service oriented architecture,gesture recognition,
graphical model,,virtual agent,membership function,posthumanism,intelligent manufacturing,arima,information fusion,pervasive computing,electroencephalography,
abduction,,avatar,fuzzy logic controller,wordnet,sensor network,fuzzy model,sensor fusion,information management,epilepsy,
detection,,cyborg,fuzzy logic control,human intelligence,rfid,clustering algorithm,medical image processing,lisp,systematic review,
image representation,,nanotechnology,quality,user experience,resource allocation,selection,preference,database management,bibliometrics,
text classification,,mental health,back propagation neural network,autism,supervisory control,constraint propagation,artificial intelligence algorithm,credit risk,intuition,
optical character recognition,,assistive technology,monte carlo tree search,heart disease,intelligent manufacturing system,crossover,personalization,bridge,knowledge discovery database,
model reasoning,,cyberspace,granular computing,religion,long short term memory,fourier transform,artificial intelligence education,python,linguistic geometry,
fuzzy rule,,chess,measurement,interactive,traffic engineering computing,gradient method,connectionism,pedagogical agent,melanoma,
predictive analytics,,cultural heritage,surface roughness,epidemiology,wastewater treatment,analysis algorithm,agent modeling,tool wear,stroke,
nonmonotonic reasoning,,humanoid,parallel computing,thinking,network management,boosting,assessment,agent model,quantitative structure activity relationship,
approximate reasoning,,mobile device,dissolved gas analysis,biomimetics,groundwater,nonlinear programming,associative memory,system engineering,motivation,
knowledge representation formalism method,,telecommunication,vibration,diabetic retinopathy,logistics,sampling,decision theory,cyber physical,student modeling,
singularity,,agency,verification,tacit knowledge,blackboard,value,data analytics,arduino,kdd,
prediction model,,robot soccer,computational modeling,xml,mechanism,method,artificial intelligent,hydrology,gender,
distance learning,,agent system,inference engine,dementia,nuclear power plant,mean absolute error,abstract intelligence,health monitoring,study,
validation,,challenge,time series analysis,protein,transportation,particle filter,deep belief network,agent oriented software engineering,semantic analysis,
discriminant analysis,,digital health,deep convolutional neural network,brain machine interface,competition,hybrid algorithm,user modeling,auditing,web mining,
naive bayes,,health,automatic control,chinese room,memristor,elm,response surface methodology,computer security,structure activity relationship,
transfer learning,,biotechnology,performance evaluation,interdisciplinarity,computer integrated manufacturing,gaussian process,symbol grounding,computer technology,depression,
experiment,,gaming,evolutionary programming,metaphor,economic dispatch,nonlinear,discrete event system,anticipation,psychoanalysis,
similarity,,event,constraint,arabic language,flexible manufacturing,induction,risk analysis,digital,causal reasoning,
predictive model,,digital economy,chaos,radiology,fault location,density,applied artificial intelligence,remote monitoring,character recognition,
machine translation,,mhealth,quantum computing,cardiovascular disease,real time strategy game,monte carlo method,information processing,video surveillance,action recognition,
convolution neural network,,open source,markov chain,attention,photovoltaic system,bayes theorem,machine ethic,requirement engineering,gene expression,
dimensionality reduction,,ehealth,construction,owl,nash equilibrium,pruning,regulation,corba,legal reasoning,
adaptive learning,,business,technique,situated cognition,wireless network,fitting,neuro fuzzy system,intellectual capital,emotional intelligence,
k mean clustering,,pedagogy,distribution,expert shell,productivity,rbf,concrete,human resource management,aesthetic,
learning algorithm,,iran,transformer,primary language,software architecture,vector control,turing machine,mixed reality,biomarker,
classification algorithm,,autonomous mobile robot,decision analysis,social interaction,real time control,meta heuristic algorithm,feedback,engineering education,machine consciousness,
online learning,,drug,testing,computer science education,construction management,approximation,computational neuroscience,fourth industrial revolution,argumentation theory,
neuron,,service,neural network model,evidence medicine,collision avoidance,regression model,computational creativity,intelligent user interface,student model,
retrieval,,wearable device,compressive strength,genomics,grid computing,,data processing,data warehouse,biomarkers,
pattern matching,,goal,computation,system biology,computing,,artificial intelligence general,climate change,imaging,
image fusion,,mobile robotics,distribution network,speech,strategic planning,,big data analytics,medical decision making,handwriting recognition,
non monotonic reasoning,,smartphone,radial basis function network,urology,cryptography,,abstraction,technological innovation,causality,
self learning,,educational technology,nonlinear system,pathology,power protection,,embodied artificial intelligence,library,cognitive modelling,
categorization,,medical education,computational model,domain ontology,hybrid intelligent system,,artificial intelligence model,npc,ontological engineering,
active learning,,ecosystem,multi agent simulation,terminology,jade,,influence diagram,emerging technology,human activity recognition,
bayes method,,cim,grinding,clinical guideline,microgrid,,functionalism,semantic web service,automatic speech recognition,
wavelet analysis,,society,control theory,wikipedia,inertial navigation,,artificial immune system,critical care,voice recognition,
bayesian inference,,bioethics,functional network,semiotics,air pollution,,agent modelling,virtual learning environment,relation,
structure,,poker,feed forward neural network,,resource management,,intelligent machine,ergonomics,metacognition,
statistical learning,,board game,monte carlo simulation,,solar radiation,,artificial intelligence law,,skin cancer,
qualitative simulation,,cam,spiking neural network,,autonomous driving,,artificial intelligence planning,,,
linear discriminant analysis,,project,fuzzy controller,,blackboard architecture,,belief network,,,
feature,,industrial robot,tracking,,free,,defeasible reasoning,,,
temporal logic,,medium,bankruptcy prediction,,man machine system,,clinical decision support system,,,
similarity measure,,digital game,particle swarm optimisation,,protection,,logic artificial intelligence,,,
mathematical modeling,,ecology,evolutionary computing,,production system,,possibility theory,,,
multilayer perceptrons,,turkey,k mean,,traffic control,,superintelligence,,,
inductive learning,,humanity,flood forecasting,,simulator,,programming language,,,
image retrieval,,,high performance computing,,intelligent transportation,,computational biology,,,
fault classification,,,topology,,cooperative system,,belief revision,,,
qualitative spatial reasoning,,,integer programming,,intelligent building,,online dispute resolution,,,
algebra,,,demand forecasting,,assembly,,cognitive process,,,
mathematical modelling,,,taguchi,,product,,machine tool,,,
data compression,,,embedded,,wireless communication,,collaborative filtering,,,
statistical method,,,feedforward neural net,,risk factor,,rationality,,,
magnetic resonance imaging,,,transient stability,,sustainable development,,pathfinding,,,
predictive modeling,,,temperature,,assembly line balancing,,heart rate variability,,,
rule induction,,,model checking,,operation management,,technical analysis,,,
inductive inference,,,implementation,,mobile computing,,recommender,,,
propositional logic,,,artificial bee colony algorithm,,temperature control,,interactive learning environment,,,
pattern clustering,,,decision,,emergency management,,computing methodology,,,
learning automaton,,,adaptive network fuzzy inference,,traffic management,,data acquisition,,,
dempster shafer theory,,,time series prediction,,early warning,,data driven,,,
perceptron,,,permeability,,real time strategy,,face detection,,,
rule extraction,,,conflict resolution,,micro grid,,neural network application,,,
method data analysis,,,motion planning,,software testing,,speech processing,,,
generalization,,,edge detection,,task allocation,,complex,,,
sensitivity,,,failure detection,,intelligent decision support,,procedural content generation,,,
machine learning technique,,,analytic hierarchy process,,dynamic system,,educational data mining,,,
nuclear magnetic resonance,,,distributed solving,,multi robot,,inference mechanism,,,
fuzzy theory,,,modeling simulation,,water resource management,,computer architecture,,,
mapping,,,fault tolerance,,operational,,computer assisted,,,
bayesian belief network,,,harmonic,,robot navigation,,graphical user interface,,,
synthesis,,,backtracking,,autonomous underwater vehicle,,evolutionary robotics,,,
gait analysis,,,partial discharge,,transmission line,,mechanical property,,,
learning object,,,machining,,condition maintenance,,information storage retrieval,,,
supervised classification,,,computational geometry,,precision agriculture,,missing data,,,
rule base,,,inductive logic programming,,production scheduling,,data structure,,,
mathematical programming,,,active power filter,,direct torque control,,mutual information,,,
induction machine,,,automated theorem proving,,drilling,,constructivism,,,
formal method,,,constraint satisfaction problem,,data management,,artificial intelligence technology,,,
first order logic,,,complexity theory,,pressure sensor,,distance education,,,
naive bayes classifier,,,standard,,game engine,,well log,,,
image reconstruction,,,feedforward neural network,,building,,artificial intelligence system,,,
probabilistic reasoning,,,neuro fuzzy network,,computer control,,standardization,,,
finite element analysis,,,complex network,,model management,,computer network,,,
clustering method,,,discrete event simulation,,bankruptcy,,conceptual graph,,,
paraconsistent logic,,,time series forecasting,,power operation,,sensing,,,
indexing,,,predictive maintenance,,decentralized control,,analytics,,,
subtractive clustering,,,markov process,,agent simulation,,damage detection,,,
pattern analysis,,,global positioning,,turning,,intrusion detection system,,,
statistical,,,data model,,ada,,social simulation,,,
multivariate statistic,,,differential evolution algorithm,,renewable energy source,,affect,,,
learning analytics,,,mean absolute percentage error,,hadoop,,opponent modeling,,,
morphometry,,,automaton,,fuel cell,,digitalization,,,
probabilistic logic,,,cross validation,,unit commitment,,computing methodology artificial intelligence,,,
classification model,,,incremental learning,,defect,,hemodialysis,,,
attribute reduction,,,porosity,,power security,,data base,,,
computed tomography,,,state estimation,,web service composition,,artificial neural network model,,,
image colour analysis,,,simulation model,,starcraft,,data visualization,,,
bayesian,,,search problem,,tool condition monitoring,,positron emission tomography,,,
correlation,,,quantum mechanic,,robot control,,artifical intelligence,,,
classification regression tree,,,anova,,greenhouse,,architectural,,,
som,,,rbf neural network,,heart failure,,electromyography,,,
learning process,,,branch bound,,power management,,simulation modeling application,,,
characterization,,,rainfall runoff modeling,,power market,,profiling,,,
experimentation,,,transformation,,traffic,,weka,,,
classifier ensemble,,,mpeg,,production planning,,mass spectrometry,,,
ranking,,,finite state machine,,business process,,hypermedia,,,
image motion analysis,,,boolean satisfiability,,,,grounding,,,
classification accuracy,,,fm,,,,data collection,,,
ensemble model,,,game tree search,,,,cognitive radio network,,,
uncertainty analysis,,,automatic generation control,,,,diversity,,,
parsing,,,algorithm discovery,,,,system theory,,,
image texture,,,corrosion,,,,structural health monitoring,,,
sar,,,non destructive testing,,,,abstract argumentation,,,
spatial reasoning,,,evapotranspiration,,,,screening,,,
homomorphism,,,model predictive control,,,,digital transformation,,,
numerical analysis,,,dissolved oxygen,,,,survival analysis,,,
analogical reasoning,,,parallelism,,,,game learning,,,
deep reinforcement learning,,,evaluation function,,,,text processing,,,
image resolution,,,dynamic bayesian network,,,,automated,,,
benchmark,,,nondestructive testing,,,,inconsistency,,,
geometry,,,imperialist competitive algorithm,,,,artificial agent,,,
blended learning,,,arc consistency,,,,information integration,,,
empirical mode decomposition,,,cogeneration,,,,,,,
image sequence,,,tree search,,,,,,,
multivariate analysis,,,distribution system,,,,,,,
lattice,,,fault tolerant control,,,,,,,
type fuzzy logic,,,decision support technique,,,,,,,
symbolic regression,,,pmsm,,,,,,,
metric,,,load frequency control,,,,,,,
qualitative modeling,,,total harmonic distortion,,,,,,,
fuzzy modelling,,,gravitational search algorithm,,,,,,,
base reasoning,,,quantum computation,,,,,,,
,,,multi gene genetic programming,,,,,,,
,,,computational fluid dynamic,,,,,,,
,,,adaptive neuro fuzzy,,,,,,,
,,,constraint logic programming,,,,,,,
,,,cuda,,,,,,,
,,,fitness function,,,,,,,
,,,quality improvement,,,,,,,
,,,field programmable gate array,,,,,,,
