0,1,2,3,4,5,6,7,8,9
energy,cluster analysis,constraint programming,,natural language understanding,artificial intelligence application,human robot interaction,e commerce,framework,retrieval
grid computing,testing,finite element,,narrative,artificial intelligence general,application expert system,rfid,sensor fusion,temporal logic
assembly,hybrid model,quality control,,question answering,conceptual,medical diagnosis,autonomous vehicle,risk assessment,experiment
water quality,regression analysis,adaptation,,embodied cognition,natural intelligence,computer application,autonomous robot,user modeling,text classification
strategic planning,validation,constraint,,chinese room,artificial intelligence method,multimedia,surveillance,granular computing,algebra
resource allocation,bayesian belief network,reliability,,xml,denotational mathematics,world wide web,electronic commerce,automatic control,statistical analysis
logistics,learning algorithm,load forecasting,,pathology,image understanding,intelligent robot,electronic nose,failure detection,similarity
motion planning,distance learning,induction motor,,personality,cognitive model,behavior,safety,credit scoring,probabilistic reasoning
inertial navigation,rule induction,convolutional neural networks,,cyborg,cognitive computing,computer assisted diagnosis,obstacle avoidance,information fusion,dempster shafer theory
production scheduling,classifier,metaheuristics,,taxonomy,mathematics,human factor,risk management,graphical model,mathematical programming
automated planning,inductive learning,evolutionary programming,,,collaborative learning,collaborative,intelligent transportation system,discrete event system,rule extraction
operational,sensitivity analysis,stability,,,semantic similarity,diagnostics,software tool,blackboard architecture,paraconsistent logic
groundwater,robustness,inference engine,,,abstract intelligence,rule system,agriculture,abstraction,qualitative modeling
fault location,inference,markov decision process,,,influence diagram,project management,atm,belief network,morphometry
collision avoidance,inductive inference,adaptive,,,preference,computer graphic,tool,anomaly detection,categorization
dynamic scheduling,multivariate statistic,bp neural network,,,computational linguistics,emergence,production system,associative memory,propositional logic
load balancing,analysis algorithm,quality,,,logic artificial intelligence,real time computer system,operation management,applied artificial intelligence,qualitative spatial reasoning
cnc,linear regression,adaptive neuro fuzzy inference,,,pattern,mechatronics,workflow,assessment,inductive logic programming
power protection,image classification,surface roughness,,,agent modeling,self organization,navigation,artificial intelligence planning,similarity measure
photovoltaic,bayesian inference,measurement,,,face recognition,ubiquitous computing,protection,neuro fuzzy system,mathematical modeling
planning scheduling,generalization,differential evolution,,,modal logic,blackboard,emergency management,control theory,rule base
distributed generation,filtering,power quality,,,analogy,teaching,virtual environment,data acquisition,parsing
power plant,fuzzy modelling,kalman filter,,,collective intelligence,network security,telecommunication,data processing,experimentation
power operation,fuzzy theory,verification,,,symbol grounding,development,stock market,neural network application,mathematical modelling
gps,test,decision analysis,,,turing machine,finance,cam,nuclear magnetic resonance,
,fuzzy c mean,optimization method,,,optical character recognition,man machine interface,manufacturing process,answer set programming,
,induction,radial basis function neural network,,,functionalism,action,facility layout,construction management,
,ensemble,fuzzy logic control,,,cognitive modeling,computer integrated manufacturing,,concrete,
,,construction,,,cognitive process,collaboration,,computing methodology artificial intelligence,
,,grinding,,,intentionality,serious game,,online dispute resolution,
,,search algorithm,,,learning style,computer aided engineering,,automaton,
,,markov chain,,,embodied artificial intelligence,personalization,,complex,
,,short term load forecasting,,,intuition,innovation,,simulation modeling application,
,,parameter estimation,,,electroencephalogram,interaction,,data base,
,,probabilistic neural network,,,recognition,medical imaging,,co ordination,
,,detection,,,web mining,organization,,hybrid intelligent system,
,,membership function,,,meaning,knowledge sharing,,supervision,
,,back propagation neural network,,,character recognition,sensor network,,software testing,
,,performance evaluation,,,belief revision,agent architecture,,bankruptcy prediction,
,,chaos,,,formal concept analysis,embedded system,,standardization,
,,computation,,,mammography,artificial intelligent,,evolutionary robotics,
,,computational model,,,knowledge discovery database,context awareness,,blackboard model,
,,transformer,,,knowledge representation reasoning,software architecture,,opponent modeling,
,,time series analysis,,,image recognition,geographic information system,,data structure,
,,multi objective optimization,,,causal reasoning,reverse engineering,,information storage retrieval,
,,integer programming,,,literature review,information communication technology,,automated theorem proving,
,,global optimization,,,programming language,recommender system,,machine tool,
,,distribution network,,,kdd,cognitive radio,,functional network,
,,flood forecasting,,,possibility theory,rehabilitation,,distributed cognition,
,,model checking,,,artificial immune system,cognitive system,,recurrent neural networks,
,,constraint propagation,,,epilepsy,behaviour,,intelligent decision support,
,,fuzzy controller,,,clinical guideline,economics,,distance education,
,,multi agent simulation,,,structure activity relationship,intelligent machine,,,
,,estimation,,,computational biology,database management,,,
,,dissolved gas analysis,,,object recognition,information management,,,
,,nonlinear system,,,quantitative structure activity relationship,trust,,,
,,least square support vector machine,,,legal reasoning,man machine system,,,
,,branch bound,,,concept algebra,agent oriented software engineering,,,
,,fuzzy logic controller,,,text analysis,tool wear,,,
,,power transformer,,,student modeling,system engineering,,,
,,multiobjective optimization,,,,product development,,,
,,tracking,,,,biomimetics,,,
,,constraint logic programming,,,,computer control,,,
,,parallel algorithm,,,,cooperative system,,,
,,technique,,,,agent modelling,,,
,,efficiency,,,,mechanism,,,
,,transient stability,,,,captcha,,,
,,boolean satisfiability,,,,lisp,,,
,,distribution,,,,metadata,,,
,,mpeg,,,,agent model,,,
,,quantum computing,,,,service oriented architecture,,,
,,constraint satisfaction problem,,,,corba,,,
,,fm,,,,graphical user interface,,,
,,vibration,,,,expert shell,,,
,,evolutionary computing,,,,clinical decision support system,,,
,,heuristic programming,,,,model management,,,
,,fault tolerance,,,,multi robot,,,
,,backtracking,,,,intelligent knowledge system,,,
,,calibration,,,,hypermedia,,,
,,complexity theory,,,,chemical industry,,,
,,corrosion,,,,geographical information system,,,
,,solving control method search,,,,computer assisted,,,
,,sat,,,,blackboard system,,,
,,discrete event simulation,,,,situated cognition,,,
,,neural network model,,,,human intelligence,,,
,,,,,,intelligent environment,,,
,,,,,,business intelligence,,,
,,,,,,data warehouse,,,
,,,,,,credit risk,,,
,,,,,,ergonomics,,,
,,,,,,pedagogical agent,,,
,,,,,,anticipation,,,
,,,,,,digital library,,,
,,,,,,ambient assisted living,,,
