0,1
graphical user interface,monte carlo
computer assisted,rbf neural network
social medium,induction machine
autonomous mobile robot,fuzzy modelling
information storage retrieval,artificial intelligence model
computer control,qualitative modeling
data warehouse,structure
alzheimer disease,spiking neural network
complex,feature
intelligent building,gmdh
agent model,artificial bee colony algorithm
atm,compressive strength
product,statistical learning
privacy,constructivism
feedback,statistical method
load balancing,convergence
risk factor,crossover
goal,calibration
cyborg,k mean
humanoid,fixture
kinect,correlation
metaphor,spatial reasoning
mobile robotics,state estimation
system engineering,supervision
strategic planning,shortest path
cim,vegetative state
machine ethic,lattice
mobile device,hybrid algorithm
digital library,classification regression tree
xml,complex adaptive system
programming language,method data analysis
conceptual graph,differential evolution algorithm
interactive learning environment,perceptron
agent system,predictive model
drilling,boosting
energy saving,attribute reduction
interactive,pruning
multi robot,pmsm
flood,high performance computing
telecommunication,nonlinear
model management,fitness function
conversational agent,tool condition monitoring
quantitative structure activity relationship,heuristic programming
educational data mining,image god
architectural,automatic classification
condition maintenance,fault tolerance
operational,free
poker,chemometrics
metacognition,text processing
operation management,corrosion
healthcare,discrete event simulation
expert shell,incremental learning
motivation,search method
protocol,heat transfer
web service composition,action recognition
transmission line,vibration analysis
turning,simulation modeling
cyberspace,fuzzy expert
air pollution,synthesis
human intelligence,adaptive neuro fuzzy
owl,missing data
nanotechnology,arc consistency
data structure,learning process
robot soccer,argumentation theory
porosity,global positioning
electronic health record,ant algorithm
distance education,quantum computation
data base,learning automaton
pervasive computing,parallelism
machine tool,edge detection
fm,gene expression
student model,probabilistic logic
cyber physical system,nondestructive testing
semantic web service,svr
pedagogy,statistical process control
law,particle filter
semantic analysis,concept algebra
primary language,fitting
formal method,neuro fuzzy network
clinical guideline,mutation
standardization,parsing
industry,standard
transhumanism,protein
multidisciplinary,pathology
micro grid,deep neural network
trend,
engineering education,
avatar,
npc,
cam,
power operation,
electric vehicle,
hypermedia,
situated cognition,
brain computer interface,
grid,
wind turbine,
production planning,
service,
anticipation,
religion,
gaming,
bankruptcy,
ecology,
scenario,
informatics,
curriculum,
medical decision making,
hydrology,
blackboard system,
dynamic scheduling,
power plant,
assistive technology,
chemical industry,
computer technology,
blackboard model,
psychoanalysis,
human resource management,
auditing,
posthumanism,
intelligent user interface,
ergonomics,
geographical information system,
wireless communication,
game engine,
microgrid,
semiotics,
evidence medicine,
requirement engineering,
word sense disambiguation,
bridge,
computer science education,
cultural heritage,
solving control method search,
tutoring,
conflict,
opinion mining,
relation,
manufacturing process,
cognitive modelling,
open source,
remote monitoring,
teleoperation,
computer education,
inference mechanism,
distributed cognition,
quality life,
co ordination,
causality,
service composition,
facility layout,
traffic management,
artificial intelligence knowledge representation formalism method,
intellectual capital,
ship,
autonomous,
uncertainty management,
intelligent knowledge system,
