0,1,2,3
matlab,verification,agency,
precision medicine,ensemble,pedagogical agent,
electronic health record,mppt,motivation,
embedded system,text classification,student modeling,
finite element,artificial intelligence algorithm,biomimetics,
energy efficiency,obstacle avoidance,challenge,
humanoid robot,model reasoning,agent model,
trust,computational modeling,diabetic retinopathy,
risk management,artificial intelligence education,health,
real time system,inference engine,tacit knowledge,
process planning,estimation,gender,
risk assessment,deep convolutional neural network,educational data mining,
rule system,kalman filter,study,
computer assisted diagnosis,fuzzy rule,event,
future,mathematics,semantic analysis,
computer application,performance evaluation,cyber physical,
mobile agent,connectionism,dementia,
ubiquitous computing,predictive analytics,mhealth,
membership function,optimization method,hydrology,
cyber physical system,nonmonotonic reasoning,ehealth,
network security,modal logic,structure activity relationship,
quality,fuzzy clustering,psychoanalysis,
navigation,evolutionary programming,pedagogy,
monte carlo tree search,associative memory,chinese room,
distributed computing,approximate reasoning,interdisciplinarity,
granular computing,chaos,metaphor,
mechatronics,denotational mathematics,legal reasoning,
computer graphic,knowledge representation formalism method,anticipation,
clinical decision support,singularity,drug,
prolog,prediction model,arabic language,
world wide web,distance learning,radiology,
credit scoring,supervisory control,cardiovascular disease,
teaching,validation,aesthetic,
marketing,discriminant analysis,analytics,
android,naive bayes,biomarker,
manufacturing system,transfer learning,social simulation,
distributed generation,technique,attention,
model diagnosis,test,medical education,
association rule,artificial intelligent,owl,
surface roughness,meta heuristic,correlation,
parallel computing,experiment,society,
dissolved gas analysis,pid,situated cognition,
water quality,learning style,expert shell,
information fusion,sat,primary language,
search engine,abstract intelligence,social interaction,
vehicle routing,deep belief network,bioethics,
solar energy,natural intelligence,student model,
application expert system,decision analysis,biomarkers,
process,predictive model,computer science education,
ambient assisted living,testing,engineering education,
autonomous robot,user modeling,evidence medicine,
flexible manufacturing system,neural network model,ranking,
distributed,machine translation,system biology,
supply chain,computation,causality,
java,lstm,cognitive modelling,
agent technology,convolution neural network,ontological engineering,
blockchain,dimensionality reduction,cognitive radio network,
time series analysis,distribution network,urology,
energy consumption,radial basis function network,pathology,
surveillance,nonlinear system,medium,
concurrent engineering,computational model,abstract argumentation,
automatic control,discrete event system,semantic web service,
finance,pid controller,domain ontology,
intelligent manufacturing,adaptive learning,terminology,
social robot,mechanism,clinical guideline,
wind turbine,k mean clustering,heart failure,
assessment,learning algorithm,ecology,
sensor network,classification algorithm,wikipedia,
constraint,online learning,semiotics,
e commerce,applied artificial intelligence,humanity,
decision theory,heuristic algorithm,metacognition,
resource allocation,functional network,information integration,
data analytics,neuro fuzzy system,ergonomics,
intelligent manufacturing system,optimization technique,skin cancer,
rehabilitation,fuzzy c mean,,
cloud,pattern matching,,
wind energy,feed forward neural network,,
quantum computing,computational neuroscience,,
markov chain,computational creativity,,
construction,spiking neural network,,
power grid,fuzzy controller,,
long short term memory,non monotonic reasoning,,
distribution,artificial intelligence general,,
efficiency,self learning,,
cyber security,multiobjective optimization,,
traffic engineering computing,embodied artificial intelligence,,
transformer,active learning,,
stock market,particle swarm optimization algorithm,,
cybersecurity,artificial intelligence model,,
wastewater treatment,particle swarm optimisation,,
robustness,bayes method,,
bot,functionalism,,
network management,real time strategy game,,
response surface methodology,artificial immune system,,
compressive strength,nash equilibrium,,
symbol grounding,bayesian inference,,
groundwater,high performance computing,,
logistics,statistical learning,,
agriculture,artificial intelligence law,,
blackboard,qualitative simulation,,
electricity market,linear discriminant analysis,,
man machine interface,integer programming,,
software tool,artificial intelligence planning,,
time,gpu,,
risk analysis,belief network,,
agent architecture,temporal logic,,
real time computer system,defeasible reasoning,,
multi agent simulation,feedforward neural net,,
virtual environment,real time control,,
information processing,back propagation algorithm,,
grinding,collision avoidance,,
control theory,mathematical modeling,,
machine ethic,multilayer perceptrons,,
nuclear power plant,inductive learning,,
transportation,optimal power flow,,
regulation,human intelligence,,
competition,model checking,,
electronic nose,logic artificial intelligence,,
neuron,fault classification,,
concrete,description logic,,
turing machine,artificial bee colony algorithm,,
higher education,possibility theory,,
convergence,multiple linear regression,,
feedback,qualitative spatial reasoning,,
interface,adaptive network fuzzy inference,,
metadata,multivariate adaptive regression spline,,
memristor,superintelligence,,
monte carlo simulation,algebra,,
robocup,mathematical modelling,,
intelligent environment,statistical method,,
environment,optimization algorithm,,
tourism,predictive modeling,,
job shop scheduling,parallel algorithm,,
computer integrated manufacturing,rule induction,,
economic dispatch,programming language,,
virtual world,computational biology,,
big data analytics,belief revision,,
bankruptcy prediction,metaheuristic,,
abstraction,ant colony algorithm,,
wind power,analytic hierarchy process,,
brain computer interface,inductive inference,,
evolutionary computing,pathfinding,,
flexible manufacturing,linear regression,,
reverse engineering,propositional logic,,
software development,pattern clustering,,
influence diagram,learning automaton,,
k mean,dempster shafer theory,,
flood forecasting,perceptron,,
geographic information system,method data analysis,,
photovoltaic system,svr,,
china,modeling simulation,,
structure,pi controller,,
intelligent machine,traffic control,,
electric vehicle,generalization,,
topology,mutation,,
wireless network,computing methodology,,
accuracy,sensitivity,,
productivity,machine learning technique,,
electronic commerce,fuzzy theory,,
demand forecasting,backtracking,,
software architecture,fuzzy model,,
drone,clustering algorithm,,
taguchi,bayesian belief network,,
embedded,computational geometry,,
chatbots,synthesis,,
workflow,inductive logic programming,,
capp,selection,,
transient stability,inference mechanism,,
electronic skin,gait analysis,,
tool,active power filter,,
temperature,constraint propagation,,
mobile application,evolutionary robotics,,
construction management,real time strategy,,
autonomous,automated theorem proving,,
virtual agent,learning object,,
ds,supervised classification,,
avatar,space,,
grid computing,mathematical programming,,
governance,feedforward neural network,,
captcha,induction machine,,
computing,neuro fuzzy network,,
clinical decision support system,causal reasoning,,
digital library,formal method,,
nanotechnology,first order logic,,
implementation,discrete event simulation,,
product development,naive bayes classifier,,
strategic planning,artificial intelligence technology,,
service oriented architecture,iso,,
policy,markov process,,
cryptography,power control,,
power protection,probabilistic reasoning,,
hybrid intelligent system,pid control,,
decision,emotional intelligence,,
jade,gradient method,,
time series prediction,finite element analysis,,
permeability,artificial intelligence system,,
conflict resolution,analysis algorithm,,
assistive technology,clustering method,,
microgrid,direct torque control,,
pervasive computing,paraconsistent logic,,
motion planning,subtractive clustering,,
inertial navigation,pattern analysis,,
data compression,statistical,,
air pollution,multivariate statistic,,
resource management,boosting,,
solar radiation,learning analytics,,
autonomous driving,differential evolution algorithm,,
cyberspace,nonlinear programming,,
chess,cross validation,,
online dispute resolution,incremental learning,,
blackboard architecture,probabilistic logic,,
free,classification model,,
lisp,sampling,,
machine tool,state estimation,,
database management,simulation model,,
distributed solving,machine consciousness,,
man machine system,search problem,,
collaborative filtering,opponent modeling,,
rationality,bayesian,,
interactive,method,,
protection,pv,,
credit risk,rbf neural network,,
bridge,branch bound,,
humanoid,computing methodology artificial intelligence,,
python,particle filter,,
heart rate variability,dc dc converter,,
technical analysis,finite state machine,,
production system,classification regression tree,,
simulator,hybrid algorithm,,
intelligent transportation,artificial neural network model,,
cooperative system,argumentation theory,,
intelligent building,boolean satisfiability,,
assembly,som,,
mobile device,learning process,,
gmdh,decentralized control,,
telecommunication,fm,,
product,game tree search,,
data acquisition,elm,,
tool wear,artifical intelligence,,
energy saving,algorithm discovery,,
wireless communication,gaussian process,,
robot soccer,nonlinear,,
agent system,induction,,
data driven,experimentation,,
harmonic,classifier ensemble,,
risk factor,traveling salesman,,
digital health,density,,
sustainable development,simulation modeling application,,
partial discharge,bayes theorem,,
assembly line balancing,classification accuracy,,
kdd,model predictive control,,
neural network application,ensemble model,,
machining,parallelism,,
operation management,robust control,,
complex,evaluation function,,
mobile computing,pruning,,
procedural content generation,dynamic bayesian network,,
cnc,spatial reasoning,,
system engineering,homomorphism,,
temperature control,numerical analysis,,
emergency management,analogical reasoning,,
biotechnology,fitting,,
gaming,deep reinforcement learning,,
xml,imperialist competitive algorithm,,
traffic management,blended learning,,
computer architecture,rbf,,
early warning,tree search,,
computer assisted,distribution system,,
digital economy,fault tolerant control,,
arduino,pmsm,,
graphical user interface,empirical mode decomposition,,
mechanical property,multivariate analysis,,
micro grid,lattice,,
software testing,gravitational search algorithm,,
constraint satisfaction problem,type fuzzy logic,,
open source,quantum computation,,
crossover,symbolic regression,,
task allocation,multi gene genetic programming,,
intelligent decision support,metric,,
complexity theory,computational fluid dynamic,,
business,adaptive neuro fuzzy,,
standard,constraint logic programming,,
rule base,qualitative modeling,,
wastewater,game learning,,
depression,relation,,
information storage retrieval,fuzzy modelling,,
health monitoring,controller,,
missing data,meta heuristic algorithm,,
data structure,shortest path,,
mutual information,approximation,,
constructivism,base reasoning,,
brain machine interface,artificial agent,,
agent oriented software engineering,regression model,,
complex network,,,
iran,,,
dynamic system,,,
multi robot,,,
autonomous mobile robot,,,
auditing,,,
time series forecasting,,,
water resource management,,,
distance education,,,
well log,,,
operational,,,
predictive maintenance,,,
computer security,,,
load balancing,,,
robot navigation,,,
autonomous underwater vehicle,,,
transmission line,,,
condition maintenance,,,
computer technology,,,
flood,,,
precision agriculture,,,
wind speed,,,
service,,,
production scheduling,,,
standardization,,,
planning scheduling,,,
global positioning,,,
drilling,,,
computer network,,,
data model,,,
wearable device,,,
remote monitoring,,,
mean absolute percentage error,,,
conceptual graph,,,
automaton,,,
data management,,,
goal,,,
pressure sensor,,,
atm,,,
mobile robotics,,,
smartphone,,,
game engine,,,
educational technology,,,
porosity,,,
attribute reduction,,,
building,,,
computer control,,,
value,,,
video surveillance,,,
affect,,,
requirement engineering,,,
corba,,,
quantum mechanic,,,
anova,,,
model management,,,
intellectual capital,,,
ecosystem,,,
cim,,,
human resource management,,,
digitalization,,,
rainfall runoff modeling,,,
monte carlo,,,
mean absolute error,,,
bankruptcy,,,
data base,,,
protocol,,,
power operation,,,
data visualization,,,
mixed reality,,,
automatic generation control,,,
agent simulation,,,
poker,,,
corrosion,,,
architectural,,,
fourth industrial revolution,,,
intelligent user interface,,,
non destructive testing,,,
characterization,,,
data warehouse,,,
climate change,,,
evapotranspiration,,,
board game,,,
grid,,,
turning,,,
ada,,,
renewable energy source,,,
hadoop,,,
monte carlo method,,,
fuel cell,,,
unit commitment,,,
uncertainty analysis,,,
dissolved oxygen,,,
weka,,,
medical decision making,,,
hypermedia,,,
technological innovation,,,
ship,,,
grounding,,,
data collection,,,
steel,,,
project,,,
nondestructive testing,,,
dynamic scheduling,,,
industrial robot,,,
benchmark,,,
diversity,,,
library,,,
npc,,,
power security,,,
web service composition,,,
digital game,,,
arc consistency,,,
power planning,,,
system theory,,,
cogeneration,,,
emerging technology,,,
structural health monitoring,,,
starcraft,,,
decision support technique,,,
load frequency control,,,
total harmonic distortion,,,
digital transformation,,,
tool condition monitoring,,,
robot control,,,
greenhouse,,,
critical care,,,
survival analysis,,,
power management,,,
turkey,,,
cuda,,,
virtual learning environment,,,
fitness function,,,
power market,,,
quality improvement,,,
traffic,,,
automated,,,
field programmable gate array,,,
inconsistency,,,
production planning,,,
business process,,,
